Link,First,CL,Last,Topic,SubTopic,Info,Code
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,-,1,General and overarching topics; collections,"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general",,00-01
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,-,2,General and overarching topics; collections,"Research exposition (monographs, survey articles) pertaining to mathematics in general",,00-02
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,5,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics in general,00A05
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,6,General and overarching topics; collections,General and miscellaneous specific topics,"Mathematics for nonmathematicians (engineering, social sciences, etc.)",00A06
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,7,General and overarching topics; collections,General and miscellaneous specific topics,"Problem books {For open problems, see 00A27}",00A07
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,8,General and overarching topics; collections,General and miscellaneous specific topics,Recreational mathematics,00A08
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,9,General and overarching topics; collections,General and miscellaneous specific topics,Popularization of mathematics,00A09
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,15,General and overarching topics; collections,General and miscellaneous specific topics,Bibliographies for mathematics in general [See also 01A70 and the classification number –00 in the other sections],00A15
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,17,General and overarching topics; collections,General and miscellaneous specific topics,External book reviews,00A17
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,20,General and overarching topics; collections,General and miscellaneous specific topics,Dictionaries and other general reference works [See also the classification number –00 in the other sections],00A20
https://mathscinet.ams.org/mathscinet/msc/msc2020.html?t=00-XX&s=&btn=Search&ls=s,0,A,22,General and overarching topics; collections,General and miscellaneous specific topics,Formularies,00A22
